record_id,source,source_record_id,event_date,industry,report_type,event_type,description,what_went_wrong,corrective_action,cause,causal_factors,hazard,activity,location,equipment,worker_involvement,worker_exposure,injury_type,severity,hospitalization,amputation,loss_of_eye,fatality,high_potential,energy_vector,barrier_status,barrier_failure,life_saving_rule,sif_label,sif_label_source,data_quality,provenance
OSHA-2015010015,OSHA,2015010015,1/1/2015,922140,Severe Injury,"Injured by physical contact with person while restraining, subduing-unintentional","Three correctional facility guards were escorting a restrained federal prison inmate when he became disruptive, requiring the use of force. 
Two guards and the inmate fell onto the Lieutenant's right leg, fracturing his fibula. He was transported to the hospital and released the following day.",,,"Injured by physical contact with person while restraining, subduing-unintentional",Co-worker,Fractures,,"OTISVILLE, NEW YORK",Co-worker,YES,YES,Fractures,Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Gravity,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010016,OSHA,2015010016,1/1/2015,339999,Severe Injury,"Ignition of vapors, gases, or liquids",Employee in the Machine Shop received second degree burns to the back of his legs after the torch he was using exploded.,,,"Ignition of vapors, gases, or liquids","Welding, cutting, and blow torches",Second degree heat (thermal) burns,,"LAKE DELTON, WISCONSIN","Welding, cutting, and blow torches",YES,YES,Second degree heat (thermal) burns,Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Thermal,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010018,OSHA,2015010018,1/1/2015,484121,Severe Injury,Other fall to lower level less than 6 feet,A truck driver fell approximately 4 feet while descending a tanker trailer ladder.  The employee was kept overnight awaiting test results.,,,Other fall to lower level less than 6 feet,"Semi, tractor-trailer, tanker truck","Traumatic injuries and disorders, unspecified",,"CORAOPOLIS, PENNSYLVANIA","Semi, tractor-trailer, tanker truck",YES,YES,"Traumatic injuries and disorders, unspecified",Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Gravity,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010019,OSHA,2015010019,1/1/2015,424490,Severe Injury,"Caught in or compressed by equipment or objects, unspecified",An employee's leg was pinned between a truck and the powered pallet jack being operated.  The employee was hospitalized for treatment/surgery at Navicent Health.,,,"Caught in or compressed by equipment or objects, unspecified",Pallet jack-powered,"Soreness, pain, hurt-nonspecified injury",,"MACON, GEORGIA",Pallet jack-powered,YES,YES,"Soreness, pain, hurt-nonspecified injury",Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Unknown,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010020,OSHA,2015010020,1/1/2015,326122,Severe Injury,"Caught in running equipment or machinery during maintenance, cleaning ","An employee working on the Line 6 Auto-Beller reached into the machine to unjam two pipes and got his hand crushed, fracturing three left-hand fingers.",,,"Caught in running equipment or machinery during maintenance, cleaning ","Metal, woodworking, and special material machinery, unspecified",Fractures,,"JANESVILLE, WISCONSIN","Metal, woodworking, and special material machinery, unspecified",YES,YES,Fractures,Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Kinetic,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010021,OSHA,2015010021,1/1/2015,444110,Severe Injury,Fall on same level due to slipping ,"An employee was hospitalized after slipping and falling while working as a member of the night freight crew, resulting in an injury to his right elbow.",,,Fall on same level due to slipping ,"Floors, walkways, ground surfaces, unspecified","Soreness, pain, hurt-nonspecified injury",,"CAPE CORAL, FLORIDA","Floors, walkways, ground surfaces, unspecified",YES,YES,"Soreness, pain, hurt-nonspecified injury",Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Gravity,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010022,OSHA,2015010022,1/1/2015,331492,Severe Injury,Caught in running equipment or machinery during regular operation,Employee working the flipping machine at the casting line had fingertip amputated after it was crushed by a jammed block.,,,Caught in running equipment or machinery during regular operation,"Special process machinery, unspecified",Amputations,,"TAMPA, FLORIDA","Special process machinery, unspecified",YES,YES,Amputations,Amputation,0.0,1.0,0.0,0,INSUFFICIENT_INFORMATION,Kinetic,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010023,OSHA,2015010023,1/2/2015,213112,Severe Injury,Nonclassifiable,Employee sustained burns during line tie-in operations at an oil and gas site.,,,Nonclassifiable,Nonclassifiable,"Heat (thermal) burns, unspecified",,"GILL, COLORADO",Nonclassifiable,YES,YES,"Heat (thermal) burns, unspecified",Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Thermal,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010024,OSHA,2015010024,1/2/2015,213111,Severe Injury,"Struck by object or equipment, unspecified",One employee was hospitalized after being struck by a tire when he was airing the tire up during his pre-drive inspection.,,,"Struck by object or equipment, unspecified","Tires, except bike","Traumatic injuries and disorders, unspecified",,"WOODWARD, OKLAHOMA","Tires, except bike",YES,YES,"Traumatic injuries and disorders, unspecified",Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Kinetic,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010025,OSHA,2015010025,1/2/2015,722211,Severe Injury,Injured by slipping or swinging object held by injured worker,An associate was using a knife to open a bag of chili and cut off her fingertip.,,,Injured by slipping or swinging object held by injured worker,"Knives, unspecified or n.e.c.",Amputations,,"ORLANDO, FLORIDA","Knives, unspecified or n.e.c.",YES,YES,Amputations,Amputation,0.0,1.0,0.0,0,INSUFFICIENT_INFORMATION,Unknown,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
