report_id,report_type,date,location,activity,barrier_failure,observed_severity,report_text,sif_potential,life_saving_rule,data_source
SYN-OIL-00001,UA/UC Observation,2016-07-25,Unit 2,entry into a vessel,exclusion zone,Low,"A report was raised after entry into a vessel. exclusion zone was not adequately verified, creating a credible high-consequence exposure. The observation was made at Unit 2.",SIF-potential,Confined Space,SYNTHETIC_PROTOTYPE_DATA
SYN-OIL-00002,UA/UC Observation,2016-01-19,Unit 2,scaffold work,fall protection,Low,"During scaffold work, a minor housekeeping issue was observed and corrected. The condition did not create a credible high-consequence exposure. The observation was made at Unit 2.",Non-SIF-potential,Working at Height,SYNTHETIC_PROTOTYPE_DATA
SYN-OIL-00003,UA/UC Observation,2020-01-14,Unit 3,pump maintenance,barricading,Moderate,"During pump maintenance, an unexpected condition was observed. The barricading was missing or ineffective and personnel were potentially exposed to a high-energy event. The observation was made at Unit 3.",SIF-potential,Energy Isolation,SYNTHETIC_PROTOTYPE_DATA
SYN-OIL-00004,Near-Miss,2016-09-28,Unit 2,overriding a safety alarm,fall protection,Low,"During inspection, fall protection needed improvement, but the task remained controlled and no credible SIF scenario was identified. The observation was made at Unit 2.",Non-SIF-potential,Bypassing Safety Controls,SYNTHETIC_PROTOTYPE_DATA
SYN-OIL-00005,Near-Miss,2024-07-03,Unit 1,lifting and rigging,fall protection,Moderate,"During lifting and rigging, personnel were exposed because fall protection was ineffective. The task was stopped before escalation. The observation was made at Unit 1.",SIF-potential,Line of Fire,SYNTHETIC_PROTOTYPE_DATA
SYN-OIL-00006,Incident,2016-05-26,Unit 4,waste segregation,permit verification,High,A minor procedural observation was recorded during waste segregation. The condition was corrected without exposure to a high-energy hazard. The observation was made at Unit 4.,Non-SIF-potential,Other/No Life-Saving Rule,SYNTHETIC_PROTOTYPE_DATA
SYN-OIL-00007,Incident,2017-02-26,Unit 2,work inside a pit,PPE,Low,"While carrying out work inside a pit, the team identified a loss of control involving PPE. No serious injury occurred, but the scenario had credible SIF potential. The observation was made at Unit 2.",SIF-potential,Confined Space,SYNTHETIC_PROTOTYPE_DATA
SYN-OIL-00008,UA/UC Observation,2024-09-19,Unit 4,overriding a safety alarm,exclusion zone,Low,"During overriding a safety alarm, a minor housekeeping issue was observed and corrected. The condition did not create a credible high-consequence exposure. The observation was made at Unit 4.",Non-SIF-potential,Bypassing Safety Controls,SYNTHETIC_PROTOTYPE_DATA
SYN-OIL-00009,UA/UC Observation,2019-02-25,Unit 1,rigging operation,PPE,Moderate,"While carrying out rigging operation, the team identified a loss of control involving PPE. No serious injury occurred, but the scenario had credible SIF potential. The observation was made at Unit 1.",SIF-potential,Safe Mechanical Lifting,SYNTHETIC_PROTOTYPE_DATA
SYN-OIL-00010,Incident,2022-02-13,Unit 2,electrical maintenance,no barrier identified,Low,"During electrical maintenance, a minor housekeeping issue was observed and corrected. The condition did not create a credible high-consequence exposure. The observation was made at Unit 2.",Non-SIF-potential,Energy Isolation,SYNTHETIC_PROTOTYPE_DATA
SYN-OIL-00011,Near-Miss,2025-05-18,Unit 3,roof inspection,vehicle segregation,Low,"During roof inspection, an unexpected condition was observed. The vehicle segregation was missing or ineffective and personnel were potentially exposed to a high-energy event. The observation was made at Unit 3.",SIF-potential,Working at Height,SYNTHETIC_PROTOTYPE_DATA
SYN-OIL-00012,Near-Miss,2019-07-02,Unit 2,lifting and rigging,procedure compliance,Moderate,"During lifting and rigging, a minor housekeeping issue was observed and corrected. The condition did not create a credible high-consequence exposure. The observation was made at Unit 2.",Non-SIF-potential,Line of Fire,SYNTHETIC_PROTOTYPE_DATA
SYN-OIL-00013,UA/UC Observation,2022-05-08,Unit 4,entry into a tank,supervision,High,"While carrying out entry into a tank, the team identified a loss of control involving supervision. No serious injury occurred, but the scenario had credible SIF potential. The observation was made at Unit 4.",SIF-potential,Confined Space,SYNTHETIC_PROTOTYPE_DATA
SYN-OIL-00014,UA/UC Observation,2023-05-10,Unit 3,load transfer,exclusion zone,Moderate,A routine observation during load transfer identified a low-risk deviation. The issue was corrected immediately and no significant energy source was involved. The observation was made at Unit 3.,Non-SIF-potential,Safe Mechanical Lifting,SYNTHETIC_PROTOTYPE_DATA
SYN-OIL-00015,Incident,2020-07-14,Unit 1,load transfer,barricading,Low,"A report was raised after load transfer. barricading was not adequately verified, creating a credible high-consequence exposure. The observation was made at Unit 1.",SIF-potential,Safe Mechanical Lifting,SYNTHETIC_PROTOTYPE_DATA
SYN-OIL-00016,Incident,2019-09-26,Unit 3,temporary bypass of an interlock,PPE,Low,A routine observation during temporary bypass of an interlock identified a low-risk deviation. The issue was corrected immediately and no significant energy source was involved. The observation was made at Unit 3.,Non-SIF-potential,Bypassing Safety Controls,SYNTHETIC_PROTOTYPE_DATA
SYN-OIL-00017,Incident,2024-08-26,Unit 2,load transfer,vehicle segregation,Low,"While carrying out load transfer, the team identified a loss of control involving vehicle segregation. No serious injury occurred, but the scenario had credible SIF potential. The observation was made at Unit 2.",SIF-potential,Safe Mechanical Lifting,SYNTHETIC_PROTOTYPE_DATA
SYN-OIL-00018,UA/UC Observation,2018-04-17,Unit 4,work inside a pit,PPE,High,"During inspection, PPE needed improvement, but the task remained controlled and no credible SIF scenario was identified. The observation was made at Unit 4.",Non-SIF-potential,Confined Space,SYNTHETIC_PROTOTYPE_DATA
SYN-OIL-00019,Incident,2023-07-18,Unit 1,journey to the worksite,tool inspection,Low,"While carrying out journey to the worksite, the team identified a loss of control involving tool inspection. No serious injury occurred, but the scenario had credible SIF potential. The observation was made at Unit 1.",SIF-potential,Driving,SYNTHETIC_PROTOTYPE_DATA
SYN-OIL-00020,Incident,2020-09-10,Unit 2,scaffold work,PPE,Low,"During inspection, PPE needed improvement, but the task remained controlled and no credible SIF scenario was identified. The observation was made at Unit 2.",Non-SIF-potential,Working at Height,SYNTHETIC_PROTOTYPE_DATA
SYN-OIL-00021,Incident,2018-08-20,Unit 4,vehicle reversing,gas testing,High,"During vehicle reversing, personnel were exposed because gas testing was ineffective. The task was stopped before escalation. The observation was made at Unit 4.",SIF-potential,Driving,SYNTHETIC_PROTOTYPE_DATA
SYN-OIL-00022,UA/UC Observation,2015-08-26,Unit 4,temporary bypass of an interlock,guard/interlock,Low,"During inspection, guard/interlock needed improvement, but the task remained controlled and no credible SIF scenario was identified. The observation was made at Unit 4.",Non-SIF-potential,Bypassing Safety Controls,SYNTHETIC_PROTOTYPE_DATA
SYN-OIL-00023,Incident,2023-08-03,Unit 2,entry into a vessel,vehicle segregation,Low,"During entry into a vessel, personnel were exposed because vehicle segregation was ineffective. The task was stopped before escalation. The observation was made at Unit 2.",SIF-potential,Confined Space,SYNTHETIC_PROTOTYPE_DATA
SYN-OIL-00024,Incident,2024-10-13,Unit 3,journey to the worksite,gas testing,High,"During inspection, gas testing needed improvement, but the task remained controlled and no credible SIF scenario was identified. The observation was made at Unit 3.",Non-SIF-potential,Driving,SYNTHETIC_PROTOTYPE_DATA
SYN-OIL-00025,Incident,2022-04-15,Unit 2,valve maintenance,exclusion zone,Moderate,"During valve maintenance, an unexpected condition was observed. The exclusion zone was missing or ineffective and personnel were potentially exposed to a high-energy event. The observation was made at Unit 2.",SIF-potential,Energy Isolation,SYNTHETIC_PROTOTYPE_DATA
SYN-OIL-00026,UA/UC Observation,2018-10-16,Unit 1,simultaneous operations,barricading,Low,A routine observation during simultaneous operations identified a low-risk deviation. The issue was corrected immediately and no significant energy source was involved. The observation was made at Unit 1.,Non-SIF-potential,Work Authorisation,SYNTHETIC_PROTOTYPE_DATA
SYN-OIL-00027,UA/UC Observation,2022-12-09,Unit 2,roof inspection,barricading,Low,"During roof inspection, personnel were exposed because barricading was ineffective. The task was stopped before escalation. The observation was made at Unit 2.",SIF-potential,Working at Height,SYNTHETIC_PROTOTYPE_DATA
SYN-OIL-00028,UA/UC Observation,2020-10-06,Unit 4,pump maintenance,permit verification,Low,"During inspection, permit verification needed improvement, but the task remained controlled and no credible SIF scenario was identified. The observation was made at Unit 4.",Non-SIF-potential,Energy Isolation,SYNTHETIC_PROTOTYPE_DATA
